user_id,account_type,country,signup_date,total_trades,total_volume,buy_volume,sell_volume,unique_tickers_traded,first_trade_date,last_trade_date,retention_rate,days_active
U0834,premium,US,2024-10-31,59,369064.50000000006,149588.91,219475.59,7,2024-01-07,2025-12-22,91.3,417
U0737,gold,CA,2024-02-01,56,483363.30000000005,249637.11,233726.19,7,2024-01-22,2025-12-25,85.71,693
U0502,basic,UK,2024-08-23,53,398026.90000000014,126542.73999999999,271484.16,7,2024-02-29,2025-12-11,90.91,475
U0180,basic,CA,2024-07-23,41,390167.5899999999,214688.86,175478.73,7,2024-01-07,2025-11-26,70.59,491
U0378,premium,AU,2024-12-03,51,465846.8199999999,242467.32999999996,223379.49000000002,7,2024-01-07,2025-12-30,91.3,392
U0679,premium,US,2024-11-23,48,437668.91000000003,203690.6,233978.30999999994,7,2024-01-03,2025-12-24,85.71,396
U0125,premium,AU,2024-02-17,46,402589.69999999995,215509.63000000003,187080.07,7,2024-01-27,2025-11-20,90.91,642
U0364,basic,CA,2024-12-15,51,451075.78,344058.81,107016.97000000002,7,2024-01-05,2025-12-30,75.0,380
U0239,premium,CA,2024-08-23,51,467676.16,207823.23000000004,259852.93000000005,7,2024-01-25,2025-12-14,86.36,478
U0172,premium,US,2024-03-27,52,469497.77000000014,218390.69999999995,251107.06999999998,7,2024-01-05,2025-12-29,75.0,642
U0351,gold,AU,2024-12-20,46,396795.2099999999,197710.49999999997,199084.71,7,2024-01-02,2025-12-21,86.36,366
U0161,gold,UK,2024-03-04,52,437926.6100000001,230325.51999999996,207601.09,7,2024-01-14,2025-12-17,86.36,653
U0056,basic,US,2024-05-02,52,480021.0,260964.39,219056.61,7,2024-01-05,2025-12-17,86.36,594
U0232,gold,UK,2024-12-22,43,408512.99999999994,306530.81000000006,101982.19,7,2024-01-22,2025-11-23,85.71,336
U0684,premium,CA,2024-01-31,58,492282.38000000006,179105.03000000006,313177.35000000003,7,2024-01-07,2025-12-25,80.95,694
U0429,basic,UK,2024-01-08,49,398421.99999999994,170938.80000000002,227483.2,7,2024-01-06,2025-12-31,80.95,723
U0858,premium,US,2024-04-07,51,409729.2800000001,190962.56999999998,218766.71000000002,7,2024-01-02,2025-11-07,80.0,579
U0407,premium,CA,2024-04-30,47,379230.3999999999,156925.32,222305.08,7,2024-02-28,2025-12-20,85.71,599
U0230,gold,US,2024-04-11,47,329548.34,203356.98999999996,126191.34999999999,7,2024-01-02,2025-12-27,85.0,625
U0309,premium,US,2024-09-08,45,378012.4400000001,238817.19999999998,139195.24,7,2024-01-16,2025-12-17,85.71,465
U0228,gold,UK,2024-01-14,47,365702.37,145827.12000000002,219875.25,7,2024-01-07,2025-12-29,75.0,715
U0734,premium,CA,2024-08-02,53,424385.06,231171.3,193213.75999999992,7,2024-01-10,2025-12-10,90.91,495
U0138,premium,CA,2024-03-24,51,361551.61,182452.61000000002,179099.0,7,2024-01-03,2025-12-20,90.91,636
U0107,basic,AU,2024-05-15,61,528244.6299999999,311494.07000000007,216750.56,7,2024-01-10,2025-12-29,80.95,593
U0999,basic,CA,2024-01-03,51,411013.94,180714.33,230299.61000000002,7,2024-01-09,2025-12-29,80.95,726
U0938,gold,US,2024-07-17,51,361380.79000000004,173692.63000000003,187688.16000000003,7,2024-01-03,2025-12-25,80.0,526
U0090,basic,US,2024-07-24,51,399371.04,240802.56,158568.48,7,2024-01-08,2025-12-15,80.95,509
U0415,gold,US,2024-07-04,50,501216.34,236052.05,265164.29000000004,7,2024-03-08,2025-12-28,90.48,542
U0764,gold,AU,2024-08-31,46,461676.88,270797.64,190879.23999999996,7,2024-01-04,2025-12-26,68.42,482
U0784,premium,AU,2024-03-12,39,338546.43,153707.68000000002,184838.75000000003,7,2024-02-13,2025-12-03,80.0,631
U0872,gold,CA,2024-01-24,64,429916.2499999999,163851.82,266064.42999999993,7,2024-01-04,2025-12-12,86.36,688
U0498,gold,AU,2024-06-09,61,457613.16,248631.43999999992,208981.72000000006,7,2024-01-11,2025-12-25,80.95,564
U0032,basic,US,2024-05-17,44,334410.1699999999,199124.41999999995,135285.75,7,2024-01-20,2025-12-21,95.83,583
U0500,basic,AU,2024-02-28,43,371515.6999999999,169025.89999999997,202489.8,7,2024-01-25,2025-12-22,68.42,663
U0615,premium,AU,2024-08-13,50,350938.8999999999,182401.19000000003,168537.71,7,2024-01-20,2025-12-30,80.95,504
U0802,basic,US,2024-10-15,53,326968.7999999999,197771.31000000003,129197.49,7,2024-01-09,2025-12-22,86.36,433
U0245,premium,AU,2024-10-18,49,401401.10000000003,120763.58999999998,280637.51,7,2024-02-05,2025-12-10,90.91,418
U0410,gold,AU,2024-03-20,48,397712.54000000004,149215.51,248497.02999999994,7,2024-01-29,2025-12-27,91.3,647
U0531,basic,CA,2024-02-13,47,296456.25,123309.12000000001,173147.13,7,2024-01-01,2025-12-31,80.95,687
U0241,premium,AU,2024-10-02,46,264571.86000000004,152859.69,111712.17000000001,7,2024-01-15,2025-12-13,73.68,437
U0287,basic,US,2024-03-29,59,451336.91999999987,212247.79,239089.13000000003,7,2024-01-02,2025-12-13,61.11,624
U0794,premium,UK,2024-03-01,67,542856.0700000002,340913.23999999993,201942.82999999996,7,2024-01-03,2025-12-11,86.36,650
U0984,premium,UK,2024-06-08,36,334725.0200000001,184751.79,149973.23,7,2024-03-13,2025-12-28,64.71,568
U0843,basic,UK,2024-06-02,46,339784.43,110598.92000000001,229185.50999999998,7,2024-01-23,2025-12-26,72.22,572
U0720,gold,UK,2024-07-20,50,393297.13,236477.42999999993,156819.7,7,2024-01-30,2025-12-28,91.3,526
U0828,basic,CA,2024-07-13,64,545157.0700000001,291013.6600000001,254143.41000000003,7,2024-01-07,2025-12-21,86.36,526
U0253,premium,AU,2024-08-31,46,412676.81999999995,233482.00999999998,179194.80999999997,7,2024-02-03,2025-12-25,73.68,481
U0015,premium,US,2024-08-23,55,415846.5399999999,267762.99000000005,148083.55000000002,7,2024-01-11,2025-12-30,86.36,494
U0633,premium,UK,2024-11-26,55,457573.93999999994,246354.45000000004,211219.49000000002,7,2024-01-07,2025-11-30,85.0,369
U0926,premium,CA,2024-05-17,57,457084.81000000006,243678.01,213406.8,7,2024-01-04,2025-12-04,95.83,566
U0867,premium,UK,2024-11-28,50,371324.83,185997.76,185327.06999999995,7,2024-03-02,2025-12-30,85.0,397
U0419,gold,CA,2024-12-05,45,320178.95,153049.73,167129.22,7,2024-01-30,2025-12-28,75.0,388
U0713,basic,UK,2024-06-22,60,510225.02,260729.78000000003,249495.24000000005,7,2024-01-09,2025-12-29,95.83,555
U0068,gold,CA,2024-10-10,47,362066.52000000014,151804.06000000003,210262.45999999996,7,2024-01-19,2025-12-19,80.95,435
U0120,premium,CA,2024-10-10,58,447362.28000000014,297764.32,149597.96,7,2024-01-01,2025-12-30,91.3,446
U0785,premium,US,2024-05-07,53,373584.65,128917.59000000003,244667.06,7,2024-01-17,2025-12-20,86.36,592
U0882,gold,US,2024-10-04,46,401057.30999999994,191990.38999999998,209066.92,7,2024-02-15,2025-12-31,66.67,453
U0862,basic,CA,2024-01-08,54,438733.66,244789.86000000004,193943.8,7,2024-01-10,2025-12-31,86.36,723
U0990,gold,US,2024-06-24,56,454545.5199999999,223798.66999999998,230746.85,7,2024-01-01,2025-12-26,91.3,550
U0044,gold,AU,2024-07-14,42,391013.52,140538.58000000002,250474.93999999997,7,2024-01-23,2025-12-23,68.42,527
U0536,gold,US,2024-11-02,49,397170.4899999999,210181.81000000003,186988.68,7,2024-01-05,2025-12-08,75.0,401
U0841,gold,CA,2024-06-03,45,417410.06999999995,234535.42000000004,182874.65,7,2024-01-15,2025-12-22,80.0,567
U0114,premium,CA,2024-05-25,52,447189.08,303633.7100000001,143555.37000000002,7,2024-01-02,2025-12-21,95.83,575
U0697,gold,AU,2024-03-22,48,441384.3,214045.90999999995,227338.39000000004,7,2024-01-03,2025-12-12,91.3,630
U0347,gold,US,2024-08-21,45,353372.37,162745.66999999998,190626.69999999998,7,2024-01-12,2025-12-23,85.71,489
U0782,basic,UK,2024-09-20,62,614719.03,287796.75,326922.2800000001,7,2024-01-01,2025-12-30,91.3,466
U0560,gold,CA,2024-08-17,54,407881.13999999996,190384.59,217496.54999999996,7,2024-01-06,2025-12-30,86.36,500
U0961,gold,CA,2024-10-06,43,349647.4900000001,165194.59000000003,184452.9,7,2024-02-01,2025-12-15,78.95,435
U0874,premium,AU,2024-10-10,53,400965.5,208775.09000000003,192190.41,7,2024-01-15,2025-12-28,85.71,444
U0188,gold,CA,2024-08-16,60,399803.14000000013,151780.57,248022.57000000004,7,2024-01-01,2025-12-22,86.36,493
U0447,gold,US,2024-12-25,51,389816.5000000001,206554.31000000003,183262.19000000003,7,2024-01-06,2025-12-19,73.68,359
U0290,premium,CA,2024-01-17,59,535298.7000000002,251510.54,283788.16000000003,7,2024-01-20,2025-12-28,91.3,711
U0887,premium,AU,2024-04-21,64,577326.0199999999,308382.56999999995,268943.45,7,2024-01-04,2025-12-30,91.3,618
U0524,gold,US,2024-02-09,51,371120.35999999987,219278.24,151842.12,7,2024-01-24,2025-12-19,85.0,679
U0024,gold,UK,2024-12-09,58,491237.75000000006,281828.14,209409.61,7,2024-02-21,2025-12-20,90.91,376
U0436,gold,CA,2024-09-14,46,485490.99000000005,252897.27000000002,232593.72000000003,7,2024-01-03,2025-11-05,80.0,417
U0413,basic,UK,2024-12-19,47,330879.8500000001,223645.85000000003,107234.0,7,2024-01-09,2025-12-13,80.0,359
U0131,gold,UK,2024-01-19,54,444987.27,234543.93,210443.34,7,2024-01-17,2025-12-02,75.0,683
U0939,gold,CA,2024-10-13,49,369160.82,129642.47999999998,239518.34000000005,7,2024-01-26,2025-12-29,80.95,442
U0067,gold,US,2024-06-22,43,361873.06,152177.42999999996,209695.62999999998,7,2024-04-19,2025-11-16,88.89,512
U0130,gold,CA,2024-12-19,62,612832.92,301620.89,311212.0300000001,7,2024-01-03,2025-12-29,86.36,375
U0666,premium,CA,2024-03-25,51,375377.85000000003,249050.14999999997,126327.69999999998,7,2024-01-08,2025-12-28,80.95,643
U0338,premium,AU,2024-06-19,47,401465.57,218005.31,183460.25999999998,7,2024-01-08,2025-11-13,90.48,512
U0394,gold,AU,2024-12-12,43,331522.4199999999,226164.74,105357.68000000001,7,2024-01-13,2025-12-23,86.36,376
U0182,basic,CA,2024-08-05,58,557388.1499999999,303726.92,253661.22999999995,7,2024-01-07,2025-12-29,86.36,511
U0686,gold,UK,2024-04-14,45,398049.76,178294.05,219755.70999999993,7,2024-01-06,2025-12-31,86.36,626
