ticker,sector,month,total_trades,total_volume,avg_price,buy_volume,sell_volume
AAPL,Technology,2024-01-01,307,1550624.9000000001,196.09368078175902,802197.2300000002,748427.67
GOOGL,ETF,2024-01-01,285,1107171.0199999998,149.52192982456145,604424.8100000003,502746.2100000001
JPM,Technology,2024-01-01,307,1628366.2299999997,206.07029315960915,787707.1500000001,840659.0800000002
NVDA,Technology,2024-01-01,313,4056856.5,518.2340255591055,1928798.4899999995,2128058.01
QQQ,Finance,2024-01-01,306,3476879.03,431.73254901960786,2019159.8000000003,1457719.2300000004
SPY,Finance,2024-01-01,327,4199169.960000003,495.32235474006126,1876003.8299999998,2323166.1300000004
TSLA,Finance,2024-01-01,345,2255363.2799999984,261.3378840579712,1091428.6199999999,1163934.6599999995
AAPL,Technology,2024-02-01,294,1528309.3099999991,199.122925170068,863288.49,665020.8199999997
GOOGL,ETF,2024-02-01,262,999960.8699999995,145.72595419847332,501736.77999999974,498224.0900000001
JPM,Technology,2024-02-01,294,1504069.7000000004,205.3111904761905,772939.2700000001,731130.4299999996
NVDA,Technology,2024-02-01,257,3563562.6599999988,514.8967315175099,1701085.09,1862477.5700000005
QQQ,Finance,2024-02-01,260,3085745.1200000006,438.2815769230769,1499703.5499999996,1586041.570000001
SPY,Finance,2024-02-01,262,3211124.16,493.91629770992375,1495895.53,1715228.6299999987
TSLA,Finance,2024-02-01,260,1691349.0000000012,261.95476923076916,874471.2899999995,816877.7099999997
AAPL,Technology,2024-03-01,270,1312143.119999999,194.98896296296292,598811.5499999999,713331.5699999998
GOOGL,ETF,2024-03-01,289,1077235.6100000003,147.75858131487894,561125.2099999998,516110.39999999985
JPM,Technology,2024-03-01,315,1641378.3299999991,204.0700634920634,882966.8099999997,758411.5199999998
NVDA,Technology,2024-03-01,295,3915222.899999999,517.9711864406776,2204465.480000001,1710757.42
QQQ,Finance,2024-03-01,300,3136241.55,429.05813333333333,1493158.4000000008,1643083.1499999994
SPY,Finance,2024-03-01,322,3848274.9000000036,492.08540372670814,1847662.7600000002,2000612.14
TSLA,Finance,2024-03-01,306,2062682.0399999984,260.5029738562093,880514.3200000003,1182167.7199999995
AAPL,Technology,2024-04-01,284,1380983.2199999997,194.2342605633803,735089.3200000001,645893.8999999998
GOOGL,ETF,2024-04-01,291,1119181.9099999992,148.8159793814434,541023.3000000003,578158.6100000002
JPM,Technology,2024-04-01,323,1655750.8,206.10684210526333,810665.0599999999,845085.7399999996
NVDA,Technology,2024-04-01,322,4255028.670000001,520.9202795031057,2181602.829999999,2073425.8399999994
QQQ,Finance,2024-04-01,295,3129657.9899999993,432.0821355932201,1458620.1699999992,1671037.8200000003
SPY,Finance,2024-04-01,313,3769732.769999997,499.31006389776365,1869238.5799999998,1900494.1900000002
TSLA,Finance,2024-04-01,287,1946090.1899999992,259.2655052264808,1003089.0599999999,943001.1300000001
AAPL,Technology,2024-05-01,292,1444013.3899999994,193.15106164383565,717945.5400000006,726067.8499999999
GOOGL,ETF,2024-05-01,290,1040632.9400000003,147.27793103448275,467544.4799999999,573088.4600000001
JPM,Technology,2024-05-01,309,1515646.6300000004,204.2974757281553,743865.3000000002,771781.3299999997
NVDA,Technology,2024-05-01,298,4050240.9899999993,520.4319798657716,2181379.4800000004,1868861.5100000002
QQQ,Finance,2024-05-01,292,3243982.409999999,428.44756849315087,1577387.9399999988,1666594.47
SPY,Finance,2024-05-01,284,3513952.36,495.22225352112685,1879051.77,1634900.59
TSLA,Finance,2024-05-01,322,2063244.26,259.4422360248446,970862.7000000002,1092381.5599999991
AAPL,Technology,2024-06-01,301,1474935.8599999994,195.18561461794013,643974.7700000001,830961.0900000001
GOOGL,ETF,2024-06-01,260,991686.2699999994,146.90915384615377,491839.5500000001,499846.72
JPM,Technology,2024-06-01,295,1497911.7100000007,201.91972881355932,775338.6999999998,722573.01
NVDA,Technology,2024-06-01,309,4231484.99,522.1468932038832,1869174.3199999996,2362310.6699999985
QQQ,Finance,2024-06-01,291,3604543.839999997,436.0756013745705,1784498.290000001,1820045.5499999996
SPY,Finance,2024-06-01,245,3121847.8,490.0331836734693,1631721.2299999997,1490126.5699999998
TSLA,Finance,2024-06-01,298,2078720.2300000014,262.74889261744977,1010862.85,1067857.3800000001
AAPL,Technology,2024-07-01,322,1539336.2499999998,190.18680124223607,760719.5199999999,778616.73
GOOGL,ETF,2024-07-01,304,1133850.48,146.6445065789473,615758.9200000003,518091.56
JPM,Technology,2024-07-01,322,1692992.2699999993,206.0732298136646,898970.6099999996,794021.6599999999
NVDA,Technology,2024-07-01,308,3902105.5799999996,517.3450974025974,1999453.7999999998,1902651.7799999998
QQQ,Finance,2024-07-01,345,3798939.2600000007,433.71686956521717,1788987.2799999993,2009951.9800000004
SPY,Finance,2024-07-01,270,3312757.6100000003,492.9058148148151,1683354.7600000002,1629402.8499999992
TSLA,Finance,2024-07-01,261,1728266.07,263.8195402298851,918680.3200000001,809585.7499999997
AAPL,Technology,2024-08-01,318,1638678.6200000006,197.2060377358491,813975.4499999996,824703.1699999998
GOOGL,ETF,2024-08-01,313,1196739.9000000004,147.19718849840245,636303.2600000001,560436.6400000001
JPM,Technology,2024-08-01,314,1622380.5699999994,204.00757961783455,838330.5999999995,784049.97
NVDA,Technology,2024-08-01,310,3962959.3900000015,518.4454838709679,2009103.1500000006,1953856.2400000005
QQQ,Finance,2024-08-01,308,3340829.619999998,433.66019480519486,1586629.3600000008,1754200.2599999993
SPY,Finance,2024-08-01,276,3483475.1999999997,487.2971014492755,1871731.1000000008,1611744.1000000003
TSLA,Finance,2024-08-01,301,1948064.5999999987,261.77378737541534,1056312.21,891752.39
